log_gamma,log_nu,log_e0,log_i0,log_rw_sigma,log_rt_init,gamma,nu,e0,i0,rw_sigma,rt_init
-1.4011486228102967,-2.4246771720053353,0.07268146036127396,0.04790225599717238,-1.590812987477812,0.9273171295202802,0.24631387965353205,0.08850668686682804,1.0753879286681587,1.049068110196637,0.20375989013938683,2.527718531050391
-1.1762604755923456,-2.071855870543549,0.1035327691088924,0.1690468865171933,-1.636006987952285,0.7700081352965619,0.3084299661242265,0.12595181440342287,1.1090821364028984,1.184175659494795,0.19475615542010863,2.159783824195364
-0.9713949825374448,-1.8486489153494998,0.10899972634769878,0.1065601569340447,-1.6297046456594133,0.6889110601830757,0.378554592556853,0.15744975061287578,1.1151620451747462,1.112444845704047,0.19598745132379697,1.991545678650261
-1.5822100108818447,-1.7235561706437474,0.11383922907318005,0.0905047482883851,-1.543493730974116,0.8640726347274059,0.20552039363255845,0.1784304890585744,1.1205719550097268,1.0947267057074073,0.21363341839486932,2.3728046087553127
-1.36653359274034,-2.171298835590286,0.1367820346869793,0.15297207936966234,-1.6145670753579298,0.34685698615954774,0.25498932619965803,0.1140294152240257,1.146578207004305,1.1652924427889946,0.19897679375423852,1.4146144014649016
-1.1731882042545139,-2.281265927592498,0.10775822200194242,0.01520656068465348,-1.743932686754051,0.7719510339172481,0.30937900377297645,0.10215480424034286,1.1137784257119454,1.015322768722913,0.1748314893863534,2.163984144285128
-1.377987832910463,-1.7901918552444906,0.10835823201671517,0.14805870420096268,-1.7828105377311154,0.5771036883976727,0.25208528078411124,0.1669281405554438,1.1144469044485237,1.1595809666390469,0.16816484881592486,1.7808729908934926
-1.7758537800269858,-1.6805144150703581,0.00960119404545845,0.09315677914244415,-1.6524613227073954,0.5917320315212942,0.16933880966946793,0.1862781271125926,1.0096474333747876,1.0976338078661474,0.1915777930724164,1.8071156876826613
-0.8729762594306794,-1.881086796748168,0.07600471367175735,0.06832905266203301,-1.692701465275364,0.6262526607601783,0.41770649447027464,0.15242436140766832,1.0789676600446836,1.0707175729864855,0.18402172360426963,1.8705877022331565
-1.593387225064246,-2.0474954818400213,0.19976671215314457,0.1478263878150546,-1.3879524587368521,0.804189651327887,0.20323603832038747,0.12905772658094214,1.221117852974326,1.1593116082691024,0.24958581906686061,2.234884728964041
-1.3985090169675285,-1.9155249730505675,-0.023066534793910604,0.1239135854087985,-1.7161797482442744,0.9085316133278186,0.24696491006325158,0.14726450239474223,0.9771974639783859,1.1319180525369812,0.17975153401761876,2.4806772642746653
-1.3456054125191506,-1.9945773754702476,0.05759142123115173,0.11836028428927668,-1.5791586380089508,0.45123985086456064,0.2603820215965367,0.13607114902199363,1.0592821071025795,1.1256495921820666,0.20614847074792228,1.570257864635989
-1.3353728081214733,-2.0558743648768076,0.18768846915314125,-0.006018211588128181,-1.6368254210981756,0.8628225353005495,0.2630600862363515,0.1279808846512436,1.2064576080389526,0.9939998615730199,0.1945968257363874,2.369840220350038
-1.9222221332557796,-2.046487472243871,0.06438815319565006,-0.017951966215001697,-1.6671015680827777,0.6057382784714671,0.14628154361982496,0.12918788359653255,1.0665062862536228,0.9822082104032237,0.18879347842972402,1.8326046821569388
-1.1668595671566162,-1.6884870681929378,0.06733314734085803,0.05212458941493369,-1.4130611738893226,0.6520228992106988,0.3113431598735104,0.18479890073555197,1.069651770465365,1.0535069901566936,0.24339706085063278,1.919419697001732
-1.166358454136503,-1.9603612352656723,0.11440630080350943,0.023874587991291385,-1.5468024036948071,0.8340558814058925,0.3114992170825302,0.14080754708120713,1.1212075798926309,1.0241618676391244,0.21292774339877327,2.302639057374304
